nodo,direccion,valor_kN
602013,comp_4,-0.0
602013,comp_5,0.0
602014,comp_0,-224.253608
602014,comp_1,2.227653
602014,comp_2,35.80595
602014,comp_3,19.341481
602014,comp_4,-91.478021
602014,comp_5,-2.768742
602015,comp_0,-0.51459
602015,comp_1,0.515004
602015,comp_2,98.156476
602015,comp_3,-52.990359
602015,comp_4,181.093945
602015,comp_5,-5.812808
602017,comp_0,0.451045
602017,comp_1,8.043059
602017,comp_2,224.253608
602017,comp_3,-2.227653
602017,comp_4,-35.80595
602017,comp_5,-0.785494
602022,comp_0,-5.206028
602022,comp_1,7.143026
602022,comp_2,-0.0
602022,comp_3,0.0
602022,comp_4,-0.0
602022,comp_5,-0.785494
602023,comp_0,1.642196
602023,comp_1,9.841045
602023,comp_2,-0.0
602023,comp_3,-0.0
602023,comp_4,0.0
602023,comp_5,-0.785494
602024,comp_0,4.00318
602024,comp_1,6.882864
602024,comp_2,0.0
602024,comp_3,0.0
602024,comp_4,0.0
602024,comp_5,-0.785494
602028,comp_0,-18.260846
602028,comp_1,2.549131
602028,comp_2,-0.0
602028,comp_3,-0.0
602028,comp_4,0.0
602028,comp_5,-0.785494
602029,comp_0,-31.666101
602029,comp_1,6.276637
602029,comp_2,0.0
602029,comp_3,0.0
602029,comp_4,0.0
602029,comp_5,-0.785494
602030,comp_0,-15.308807
602030,comp_1,5.193697
602030,comp_2,-0.0
602030,comp_3,0.0
602030,comp_4,0.0
602030,comp_5,-0.785494
602034,comp_0,-0.078126
602034,comp_1,0.65236
602034,comp_2,0.0
602034,comp_3,-0.0
602034,comp_4,0.0
602034,comp_5,-0.612061
602035,comp_0,-0.052598
602035,comp_1,0.32603
602035,comp_2,0.0
602035,comp_3,-0.0
602035,comp_4,0.0
602035,comp_5,-0.612061
602036,comp_0,-1.205102
602036,comp_1,-0.164417
602036,comp_2,-0.0
602036,comp_3,0.0
602036,comp_4,-0.0
602036,comp_5,-0.785494
602038,comp_0,-0.116494
602038,comp_1,-0.448676
602038,comp_2,-0.0
602038,comp_3,0.0
602038,comp_4,0.0
602038,comp_5,-0.308375
602039,comp_0,-0.087929
602039,comp_1,-17.080163
602039,comp_2,0.0
602039,comp_3,-0.0
602039,comp_4,0.0
