nodo,direccion,desplazamiento_m
603023,comp_5,-5.452e-05
603024,comp_0,-2.039e-05
603024,comp_1,0.00071248
603024,comp_2,-0.00133271
603024,comp_3,-1.062e-05
603024,comp_4,2.028e-05
603024,comp_5,-5.452e-05
603025,comp_0,-0.00090092
603025,comp_1,0.00043987
603025,comp_2,-0.00131441
603025,comp_3,-2.63e-05
603025,comp_4,-6.641e-05
603025,comp_5,-5.452e-05
603026,comp_0,-0.00041567
603026,comp_1,0.00043987
603026,comp_2,-0.00148191
603026,comp_3,6.46e-06
603026,comp_4,-1.728e-05
603026,comp_5,-5.452e-05
603027,comp_0,-2.039e-05
603027,comp_1,0.00043987
603027,comp_2,-0.00128079
603027,comp_3,3.205e-05
603027,comp_4,-2.915e-05
603027,comp_5,-5.452e-05
603028,comp_0,-0.00090092
603028,comp_1,0.00016726
603028,comp_2,-0.00101046
