tipo,elemento,nodo,componente,valor
local,41,-,comp_3,-0.0
local,41,-,comp_4,0.0
local,41,-,comp_5,0.0
local,41,-,comp_6,0.0
local,41,-,comp_7,0.0
local,41,-,comp_8,0.0
local,41,-,comp_9,0.0
local,41,-,comp_10,0.0
local,41,-,comp_11,0.0
local,42,-,comp_0,0.0
local,42,-,comp_1,0.0
local,42,-,comp_2,0.0
local,42,-,comp_3,-0.0
local,42,-,comp_4,0.0
local,42,-,comp_5,0.0
local,42,-,comp_6,0.0
local,42,-,comp_7,0.0
local,42,-,comp_8,0.0
local,42,-,comp_9,0.0
local,42,-,comp_10,0.0
local,42,-,comp_11,0.0
local,43,-,comp_0,0.0
local,43,-,comp_1,0.0
local,43,-,comp_2,0.0
local,43,-,comp_3,-0.0
local,43,-,comp_4,0.0
local,43,-,comp_5,0.0
local,43,-,comp_6,0.0
local,43,-,comp_7,0.0
local,43,-,comp_8,0.0
local,43,-,comp_9,0.0
local,43,-,comp_10,0.0
local,43,-,comp_11,0.0
local,44,-,comp_0,0.0
local,44,-,comp_1,0.0
local,44,-,comp_2,0.0
local,44,-,comp_3,-0.0
local,44,-,comp_4,0.0
local,44,-,comp_5,0.0
local,44,-,comp_6,0.0
local,44,-,comp_7,0.0
local,44,-,comp_8,0.0
local,44,-,comp_9,0.0
local,44,-,comp_10,0.0
local,44,-,comp_11,0.0
local,45,-,comp_0,0.0
local,45,-,comp_1,0.0
local,45,-,comp_2,0.0
local,45,-,comp_3,-0.0
local,45,-,comp_4,0.0
local,45,-,comp_5,0.0
local,45,-,comp_6,0.0
local,45,-,comp_7,0.0
local,45,-,comp_8,0.0
local,45,-,comp_9,0.0
local,45,-,comp_10,0.0
local,45,-,comp_11,0.0
local,46,-,comp_0,0.0
local,46,-,comp_1,0.0
local,46,-,comp_2,0.0
local,46,-,comp_3,-0.0
local,46,-,comp_4,0.0
local,46,-,comp_5,0.0
local,46,-,comp_6,0.0
local,46,-,comp_7,0.0
local,46,-,comp_8,0.0
local,46,-,comp_9,0.0
local,46,-,comp_10,0.0
local,46,-,comp_11,0.0
local,47,-,comp_0,0.0
local,47,-,comp_1,0.0
local,47,-,comp_2,0.0
local,47,-,comp_3,-0.0
local,47,-,comp_4,0.0
local,47,-,comp_5,0.0
local,47,-,comp_6,0.0
local,47,-,comp_7,0.0
local,47,-,comp_8,0.0
local,47,-,comp_9,0.0
local,47,-,comp_10,0.0
local,47,-,comp_11,0.0
local,48,-,comp_0,0.0
local,48,-,comp_1,0.0
local,48,-,comp_2,0.0
local,48,-,comp_3,-0.0
local,48,-,comp_4,0.0
local,48,-,comp_5,0.0
local,48,-,comp_6,0.0
local,48,-,comp_7,0.0
local,48,-,comp_8,0.0
local,48,-,comp_9,0.0
local,48,-,comp_10,0.0
local,48,-,comp_11,0.0
local,49,-,comp_0,0.0
local,49,-,comp_1,0.0
local,49,-,comp_2,0.0
local,49,-,comp_3,-0.0
local,49,-,comp_4,0.0
local,49,-,comp_5,0.0
local,49,-,comp_6,0.0
local,49,-,comp_7,0.0
local,49,-,comp_8,0.0
local,49,-,comp_9,0.0
local,49,-,comp_10,0.0
local,49,-,comp_11,0.0
local,50,-,comp_0,0.0
local,50,-,comp_1,0.0
local,50,-,comp_2,0.0
local,50,-,comp_3,-0.0
local,50,-,comp_4,0.0
local,50,-,comp_5,0.0
local,50,-,comp_6,0.0
local,50,-,comp_7,0.0
local,50,-,comp_8,0.0
local,50,-,comp_9,0.0
local,50,-,comp_10,0.0
local,50,-,comp_11,0.0
local,51,-,comp_0,0.0
local,51,-,comp_1,0.0
local,51,-,comp_2,0.0
local,51,-,comp_3,-0.0
local,51,-,comp_4,0.0
local,51,-,comp_5,0.0
local,51,-,comp_6,0.0
local,51,-,comp_7,0.0
local,51,-,comp_8,0.0
local,51,-,comp_9,0.0
local,51,-,comp_10,0.0
local,51,-,comp_11,0.0
local,52,-,comp_0,0.0
local,52,-,comp_1,0.0
local,52,-,comp_2,0.0
local,52,-,comp_3,-0.0
local,52,-,comp_4,0.0
local,52,-,comp_5,0.0
local,52,-,comp_6,0.0
local,52,-,comp_7,0.0
local,52,-,comp_8,0.0
local,52,-,comp_9,0.0
local,52,-,comp_10,0.0
local,52,-,comp_11,0.0
local,53,-,comp_0,0.0
local,53,-,comp_1,0.0
local,53,-,comp_2,0.0
local,53,-,comp_3,-0.0
local,53,-,comp_4,0.0
local,53,-,comp_5,0.0
local,53,-,comp_6,0.0
local,53,-,comp_7,0.0
local,53,-,comp_8,0.0
local,53,-,comp_9,0.0
local,53,-,comp_10,0.0
local,53,-,comp_11,0.0
local,54,-,comp_0,0.0
local,54,-,comp_1,0.0
local,54,-,comp_2,0.0
local,54,-,comp_3,-0.0
local,54,-,comp_4,0.0
local,54,-,comp_5,0.0
local,54,-,comp_6,0.0
local,54,-,comp_7,0.0
local,54,-,comp_8,0.0
local,54,-,comp_9,0.0
local,54,-,comp_10,0.0
local,54,-,comp_11,0.0
local,55,-,comp_0,0.0
local,55,-,comp_1,0.0
local,55,-,comp_2,0.0
local,55,-,comp_3,-0.0
local,55,-,comp_4,0.0
local,55,-,comp_5,0.0
local,55,-,comp_6,0.0
local,55,-,comp_7,0.0
local,55,-,comp_8,0.0
local,55,-,comp_9,0.0
local,55,-,comp_10,0.0
local,55,-,comp_11,0.0
local,56,-,comp_0,0.0
local,56,-,comp_1,0.0
local,56,-,comp_2,0.0
local,56,-,comp_3,-0.0
local,56,-,comp_4,0.0
local,56,-,comp_5,0.0
local,56,-,comp_6,0.0
local,56,-,comp_7,0.0
local,56,-,comp_8,0.0
local,56,-,comp_9,0.0
local,56,-,comp_10,0.0
local,56,-,comp_11,0.0
local,57,-,comp_0,0.0
local,57,-,comp_1,0.0
local,57,-,comp_2,0.0
local,57,-,comp_3,-0.0
local,57,-,comp_4,0.0
local,57,-,comp_5,0.0
local,57,-,comp_6,0.0
local,57,-,comp_7,0.0
local,57,-,comp_8,0.0
local,57,-,comp_9,0.0
local,57,-,comp_10,0.0
local,57,-,comp_11,0.0
local,58,-,comp_0,0.0
local,58,-,comp_1,0.0
local,58,-,comp_2,0.0
local,58,-,comp_3,-0.0
local,58,-,comp_4,0.0
local,58,-,comp_5,0.0
local,58,-,comp_6,0.0
local,58,-,comp_7,0.0
local,58,-,comp_8,0.0
local,58,-,comp_9,0.0
local,58,-,comp_10,0.0
local,58,-,comp_11,0.0
local,59,-,comp_0,0.0
local,59,-,comp_1,0.0
local,59,-,comp_2,0.0
local,59,-,comp_3,-0.0
local,59,-,comp_4,0.0
local,59,-,comp_5,0.0
local,59,-,comp_6,0.0
local,59,-,comp_7,0.0
local,59,-,comp_8,0.0
local,59,-,comp_9,0.0
local,59,-,comp_10,0.0
local,59,-,comp_11,0.0
local,60,-,comp_0,0.0
local,60,-,comp_1,0.0
local,60,-,comp_2,0.0
local,60,-,comp_3,-0.0
local,60,-,comp_4,0.0
local,60,-,comp_5,0.0
local,60,-,comp_6,0.0
local,60,-,comp_7,0.0
local,60,-,comp_8,0.0
local,60,-,comp_9,0.0
local,60,-,comp_10,0.0
local,60,-,comp_11,0.0
local,61,-,comp_0,0.0
local,61,-,comp_1,0.0
local,61,-,comp_2,0.0
local,61,-,comp_3,-0.0
local,61,-,comp_4,0.0
local,61,-,comp_5,0.0
local,61,-,comp_6,0.0
local,61,-,comp_7,0.0
local,61,-,comp_8,0.0
local,61,-,comp_9,0.0
local,61,-,comp_10,0.0
local,61,-,comp_11,0.0
local,62,-,comp_0,0.0
local,62,-,comp_1,0.0
local,62,-,comp_2,0.0
local,62,-,comp_3,-0.0
local,62,-,comp_4,0.0
local,62,-,comp_5,0.0
local,62,-,comp_6,0.0
local,62,-,comp_7,0.0
local,62,-,comp_8,0.0
local,62,-,comp_9,0.0
local,62,-,comp_10,0.0
local,62,-,comp_11,0.0
local,63,-,comp_0,0.0
local,63,-,comp_1,0.0
local,63,-,comp_2,0.0
local,63,-,comp_3,-0.0
local,63,-,comp_4,0.0
local,63,-,comp_5,0.0
local,63,-,comp_6,0.0
local,63,-,comp_7,0.0
local,63,-,comp_8,0.0
local,63,-,comp_9,0.0
local,63,-,comp_10,0.0
local,63,-,comp_11,0.0
local,64,-,comp_0,0.0
local,64,-,comp_1,0.0
local,64,-,comp_2,0.0
local,64,-,comp_3,-0.0
local,64,-,comp_4,0.0
local,64,-,comp_5,0.0
local,64,-,comp_6,0.0
local,64,-,comp_7,0.0
local,64,-,comp_8,0.0
local,64,-,comp_9,0.0
local,64,-,comp_10,0.0
local,64,-,comp_11,0.0
local,65,-,comp_0,0.0
local,65,-,comp_1,0.0
local,65,-,comp_2,0.0
local,65,-,comp_3,-0.0
local,65,-,comp_4,0.0
local,65,-,comp_5,0.0
local,65,-,comp_6,0.0
local,65,-,comp_7,0.0
local,65,-,comp_8,0.0
local,65,-,comp_9,0.0
local,65,-,comp_10,0.0
local,65,-,comp_11,0.0
local,66,-,comp_0,0.0
local,66,-,comp_1,0.0
local,66,-,comp_2,0.0
local,66,-,comp_3,-0.0
local,66,-,comp_4,0.0
local,66,-,comp_5,0.0
local,66,-,comp_6,0.0
local,66,-,comp_7,0.0
local,66,-,comp_8,0.0
local,66,-,comp_9,0.0
local,66,-,comp_10,0.0
local,66,-,comp_11,0.0
local,67,-,comp_0,0.0
local,67,-,comp_1,0.0
local,67,-,comp_2,0.0
local,67,-,comp_3,-0.0
local,67,-,comp_4,0.0
local,67,-,comp_5,0.0
local,67,-,comp_6,0.0
local,67,-,comp_7,0.0
local,67,-,comp_8,0.0
local,67,-,comp_9,0.0
local,67,-,comp_10,0.0
local,67,-,comp_11,0.0
local,68,-,comp_0,0.0
local,68,-,comp_1,0.0
local,68,-,comp_2,0.0
local,68,-,comp_3,-0.0
local,68,-,comp_4,0.0
local,68,-,comp_5,0.0
local,68,-,comp_6,0.0
local,68,-,comp_7,0.0
local,68,-,comp_8,0.0
local,68,-,comp_9,0.0
local,68,-,comp_10,0.0
local,68,-,comp_11,0.0
local,69,-,comp_0,0.0
local,69,-,comp_1,0.0
local,69,-,comp_2,0.0
local,69,-,comp_3,-0.0
local,69,-,comp_4,0.0
local,69,-,comp_5,0.0
local,69,-,comp_6,0.0
local,69,-,comp_7,0.0
local,69,-,comp_8,0.0
local,69,-,comp_9,0.0
local,69,-,comp_10,0.0
local,69,-,comp_11,0.0
local,70,-,comp_0,0.0
local,70,-,comp_1,0.0
local,70,-,comp_2,-6.12438
local,70,-,comp_3,-1.106091
local,70,-,comp_4,28.960679
local,70,-,comp_5,0.0
local,70,-,comp_6,0.0
local,70,-,comp_7,-0.0
local,70,-,comp_8,6.12438
local,70,-,comp_9,1.106091
local,70,-,comp_10,25.546301
local,70,-,comp_11,0.0
local,71,-,comp_0,0.0
local,71,-,comp_1,0.0
local,71,-,comp_2,-10.278777
local,71,-,comp_3,-0.336805
