nodo,direccion,desplazamiento_m
121,comp_0,6.400280593922767e-05
121,comp_1,-1.8749606970554227e-07
121,comp_2,-0.00031813546390498684
121,comp_3,2.4033202671910093e-05
121,comp_4,9.290393654590821e-05
121,comp_5,5.449859850717084e-09
122,comp_0,0.00018452764027377348
122,comp_1,-1.952575758806121e-05
122,comp_2,-0.0005473739954942069
122,comp_3,1.308857683529733e-06
122,comp_4,-0.00010487578573445424
122,comp_5,2.504457739661053e-07
124,comp_0,0.0006807794192355164
124,comp_1,-5.674824003726578e-05
124,comp_2,-0.0007235585184431953
124,comp_3,-2.2123006877349193e-05
124,comp_4,0.0010826026936359692
124,comp_5,1.420030411825444e-08
126,comp_0,0.0
126,comp_1,0.0
126,comp_2,0.0
126,comp_3,0.0
126,comp_4,0.0
126,comp_5,0.0
128,comp_0,0.00018082354727681478
128,comp_1,-2.604736554213859e-05
128,comp_2,0.0
128,comp_3,4.933213170859592e-06
128,comp_4,3.4246883953942206e-05
128,comp_5,2.504457739661053e-07
129,comp_0,0.0
129,comp_1,0.0
129,comp_2,0.0
129,comp_3,0.0
129,comp_4,0.0
129,comp_5,0.0
131,comp_0,0.0006807716090682513
131,comp_1,-5.672906962670614e-05
131,comp_2,0.0
131,comp_3,7.1627613165033105e-06
131,comp_4,8.59560112459914e-05
131,comp_5,1.420030411825444e-08
132,comp_0,0.0
132,comp_1,0.0
132,comp_2,0.0
132,comp_3,0.0
132,comp_4,0.0
132,comp_5,0.0
134,comp_0,0.0006806470724011343
134,comp_1,-5.672892762366495e-05
134,comp_2,0.0
134,comp_3,7.1627433868263955e-06
134,comp_4,8.59402869193353e-05
134,comp_5,1.420030411825444e-08
135,comp_0,0.0
135,comp_1,0.0
135,comp_2,0.0
135,comp_3,0.0
135,comp_4,0.0
135,comp_5,0.0
137,comp_0,0.0006805435521841122
137,comp_1,-5.672921162974732e-05
137,comp_2,0.0
137,comp_3,7.162779246180226e-06
137,comp_4,8.592721618486277e-05
137,comp_5,1.420030411825444e-08
138,comp_0,0.0
138,comp_1,0.0
138,comp_2,0.0
138,comp_3,0.0
138,comp_4,0.0
138,comp_5,0.0
140,comp_0,0.0006807716090682513
140,comp_1,-5.6695982918110604e-05
140,comp_2,0.0
140,comp_3,7.158583701781642e-06
140,comp_4,8.595601124599142e-05
140,comp_5,1.420030411825444e-08
141,comp_0,0.0
141,comp_1,0.0
141,comp_2,0.0
141,comp_3,0.0
141,comp_4,0.0
141,comp_5,0.0
143,comp_0,0.0006806470724011343
143,comp_1,-5.669569891202824e-05
143,comp_2,0.0
143,comp_3,7.1585478424278176e-06
143,comp_4,8.594028691933526e-05
143,comp_5,1.420030411825444e-08
144,comp_0,0.0
144,comp_1,0.0
144,comp_2,0.0
144,comp_3,0.0
144,comp_4,0.0
144,comp_5,0.0
146,comp_0,0.0006805435521841122
146,comp_1,-5.669285885120459e-05
146,comp_2,0.0
146,comp_3,7.158189248889464e-06
146,comp_4,8.592721618486278e-05
146,comp_5,1.420030411825444e-08
147,comp_0,0.0
147,comp_1,0.0
147,comp_2,0.0
147,comp_3,0.0
147,comp_4,0.0
147,comp_5,0.0
149,comp_0,0.0006805198376762347
149,comp_1,-5.70978515246572e-05
149,comp_2,0.0
149,comp_3,7.209324687456727e-06
149,comp_4,8.59242219288176e-05
149,comp_5,1.420030411825444e-08
150,comp_0,0.0
150,comp_1,0.0
150,comp_2,0.0
150,comp_3,0.0
150,comp_4,0.0
150,comp_5,0.0
152,comp_0,0.000680518559648864
152,comp_1,-5.695556447739229e-05
152,comp_2,0.0
152,comp_3,7.191359151185891e-06
152,comp_4,8.59240605617252e-05
152,comp_5,1.420030411825444e-08
153,comp_0,0.0
153,comp_1,0.0
153,comp_2,0.0
153,comp_3,0.0
153,comp_4,0.0
153,comp_5,0.0
155,comp_0,0.0006807879394179873
155,comp_1,-5.6708763191817035e-05
155,comp_2,0.0
155,comp_3,7.1601973727041765e-06
155,comp_4,8.595807315883692e-05
155,comp_5,1.420030411825444e-08
156,comp_0,0.0
156,comp_1,0.0
156,comp_2,0.0
156,comp_3,0.0
156,comp_4,0.0
156,comp_5,0.0
158,comp_0,0.0006806615567113348
158,comp_1,-5.6707201158364025e-05
158,comp_2,0.0
158,comp_3,7.160000146258107e-06
158,comp_4,8.594211574638086e-05
158,comp_5,1.420030411825444e-08
159,comp_0,0.0
159,comp_1,0.0
159,comp_2,0.0
159,comp_3,0.0
159,comp_4,0.0
159,comp_5,0.0
161,comp_0,0.0006805591725186422
161,comp_1,-5.67081951796523e-05
161,comp_2,0.0
161,comp_3,7.160125653996516e-06
161,comp_4,8.592918844932348e-05
161,comp_5,1.420030411825444e-08
162,comp_0,0.0
162,comp_1,0.0
162,comp_2,0.0
162,comp_3,0.0
162,comp_4,0.0
162,comp_5,0.0
164,comp_0,0.0006807879394179873
164,comp_1,-5.666900234028592e-05
164,comp_2,0.0
164,comp_3,7.155177063167421e-06
164,comp_4,8.595807315883685e-05
164,comp_5,1.420030411825444e-08
165,comp_0,0.0
165,comp_1,0.0
165,comp_2,0.0
