nodo,direccion,valor_kN
52,comp_0,-17.046263881605327
52,comp_1,-6.671566794903904
52,comp_2,1.3651302310790925e-12
52,comp_3,-3.730349362740526e-14
52,comp_4,1.2434497875801753e-13
52,comp_5,0.06776069084863602
54,comp_0,40.89977669747808
54,comp_1,10.499883025114888
54,comp_2,-1.0063061495202419e-12
54,comp_3,3.197442310920451e-14
54,comp_4,1.4788170688007085e-13
54,comp_5,-0.03326429683772743
56,comp_0,1.5096787314318096
56,comp_1,-2.114142676059356
56,comp_2,1734.092299950629
56,comp_3,2.7661111692218885
56,comp_4,-2.855415537855288
56,comp_5,-0.0007673618288427359
58,comp_0,-13.778446030600662
58,comp_1,0.9105445028969485
58,comp_2,2.8457236567192012e-12
58,comp_3,7.105427357601002e-15
58,comp_4,1.2212453270876722e-14
58,comp_5,-0.03372903218206839
59,comp_0,-41.19794057825851
59,comp_1,-0.15859363627849887
59,comp_2,-5.728750807065808e-13
59,comp_3,-4.618527782440651e-14
59,comp_4,-2.0516921495072893e-13
59,comp_5,0.06776069084863638
61,comp_0,55.27735302318381
61,comp_1,0.06349418081380237
61,comp_2,3.917755009297252e-12
61,comp_3,0.0
61,comp_4,-9.459100169806334e-14
61,comp_5,-0.03326429683772616
63,comp_0,-0.3009664143246344
63,comp_1,-0.815445047432252
63,comp_2,2424.6584102402667
63,comp_3,1.0518302994341113
63,comp_4,-5.248464233693044
63,comp_5,-0.0007673618288427359
65,comp_0,2.7231601671081247
65,comp_1,-3.003614592870114
65,comp_2,-2.0161650127192843e-13
65,comp_3,1.7763568394002505e-15
65,comp_4,-1.942890293094024e-15
65,comp_5,-0.03372903218206837
66,comp_0,-48.90121660180297
66,comp_1,-6.750061301182089
66,comp_2,8.624212455288216e-13
66,comp_3,-5.3290705182007514e-14
66,comp_4,-9.325873406851315e-15
66,comp_5,0.06776069084863662
68,comp_0,51.96374455668158
68,comp_1,11.865733148663406
68,comp_2,-1.865174681370263e-14
68,comp_3,6.927791673660977e-14
68,comp_4,4.529709940470639e-14
68,comp_5,-0.03326429683772673
70,comp_0,-5.785688121986732
70,comp_1,-2.112057254611203
70,comp_2,1616.323233270039
70,comp_3,2.767492348688604
70,comp_4,-12.485299784367763
70,comp_5,-0.0007673618288427359
72,comp_0,6.859644808131854
72,comp_1,0.14463962952154963
72,comp_2,9.117151478221786e-13
72,comp_3,-2.4868995751603507e-14
72,comp_4,-4.374278717023117e-14
72,comp_5,-0.03372903218206839
73,comp_0,-21.04210042075884
73,comp_1,-0.6856569232665314
73,comp_2,2.0339285811132868e-13
73,comp_3,-4.263256414560601e-14
73,comp_4,-3.375077994860476e-14
73,comp_5,0.06776069084863698
75,comp_0,20.41741105268943
75,comp_1,1.0490967720138467
75,comp_2,-1.0169642905566434e-12
75,comp_3,3.552713678800501e-15
75,comp_4,-5.417888360170764e-14
75,comp_5,-0.03326429683772546
77,comp_0,-6.234955440062445
77,comp_1,-0.5080794782688649
77,comp_2,2374.0288553226446
77,comp_3,0.6502416839167177
77,comp_4,-13.081329747666953
77,comp_5,-0.0007673618288427359
79,comp_0,3.4555674585116885
79,comp_1,5.217818141432937
79,comp_2,-3.5204635651098215e-08
79,comp_3,5.861210183866206e-09
79,comp_4,3.044682728159387e-09
79,comp_5,-0.03372903205835741
80,comp_0,-27.29185635408352
80,comp_1,12.20752429530711
